2004-03-03 00:00:00 {'A': 1905, 'B': 2232, 'C': 2629, 'D': 3107, 'E': 3538}
2004-03-04 00:00:00 {'A': 1903, 'B': 2237, 'C': 2623, 'D': 3106, 'E': 3549}
2004-03-05 00:00:00 {'A': 1904, 'B': 2242, 'C': 2622, 'D': 3091, 'E': 3554}
2004-03-06 00:00:00 {'A': 1904, 'B': 2242, 'C': 2622, 'D': 3091, 'E': 3554}
2004-03-07 00:00:00 {'A': 1904, 'B': 2242, 'C': 2622, 'D': 3091, 'E': 3554}
2004-03-08 00:00:00 {'A': 1913, 'B': 2236, 'C': 2616, 'D': 3089, 'E': 3548}
2004-03-09 00:00:00 {'A': 1917, 'B': 2227, 'C': 2629, 'D': 3084, 'E': 3534}
2004-03-10 00:00:00 {'A': 1925, 'B': 2204, 'C': 2648, 'D': 3085, 'E': 3508}
2004-03-11 00:00:00 {'A': 1927, 'B': 2173, 'C': 2659, 'D': 3085, 'E': 3521}
2004-03-12 00:00:00 {'A': 1916, 'B': 2186, 'C': 2661, 'D': 3081, 'E': 3536}
2004-03-13 00:00:00 {'A': 1916, 'B': 2186, 'C': 2661, 'D': 3081, 'E': 3536}
2004-03-14 00:00:00 {'A': 1916, 'B': 2186, 'C': 2661, 'D': 3081, 'E': 3536}
2004-03-15 00:00:00 {'A': 1925, 'B': 2166, 'C': 2667, 'D': 3056, 'E': 3546}
2004-03-16 00:00:00 {'A': 1923, 'B': 2174, 'C': 2663, 'D': 3052, 'E': 3556}
